open,high,low,close,totalvolume,timestamp
178.06,178.09,178.04,178.06,66195,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,70308,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,70868,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,80473,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,82296,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,83023,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,84748,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,96813,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,99163,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,99263,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,101449,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,102749,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.09,108862,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,110347,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,115944,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,118558,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,118888,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,121349,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,139102,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.05,140902,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,141272,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,143472,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,145347,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,149998,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,152867,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,154264,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,154499,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,155139,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,155964,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,157182,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,161182,2025-08-22T19:30:00Z
178.07,178.07,178.07,178.07,138,2025-08-22T19:31:00Z
178.07,178.09,178.07,178.09,2027,2025-08-22T19:31:00Z
178.07,178.09,178.07,178.07,4603,2025-08-22T19:31:00Z
178.07,178.09,178.07,178.08,5403,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.06,9176,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.06,11536,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.07,12805,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.06,14646,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.06,17727,2025-08-22T19:31:00Z
178.07,178.09,178.05,178.07,18898,2025-08-22T19:31:00Z
178.07,178.09,178.04,178.05,21863,2025-08-22T19:31:00Z
